method,index,a549,cd8t,hela,abcam,sysy,molm,ythdf,average
DeepPromise_maxlen,AUPRC,0.41895506792421383,0.42044158821878674,0.3903391006271923,0.2789107233811998,0.3110948237635269,0.2644696398145503,0.2386998522119326,0.3473684906215784
DeepPromise_maxlen,AUROC,0.8421548652678055,0.8385353337016302,0.7910946173867875,0.7237882477710104,0.785666425902012,0.7132643650028144,0.7478355492518615,0.78241730917201
DeepPromise_random,AUPRC,0.42500699462462227,0.4249136995248103,0.3849134673792988,0.27230503022065816,0.30497406072933975,0.26223726657439655,0.23737070112785125,0.34572508650885436
DeepPromise_random,AUROC,0.8432301379669251,0.8398720205681461,0.7887127844070451,0.7200020977621858,0.7878111838027646,0.7115574964578726,0.7464922734329795,0.7818642868274899
deepSRAMP$_{single}$_maxlen,AUPRC,0.7931648060544798,0.758831135736233,0.7242885031623246,0.7658904293125544,0.8251843951129318,0.684065700642533,0.649306816359987,0.7585708283368428
deepSRAMP$_{single}$_maxlen,AUROC,0.9656971614739771,0.9576428025984484,0.9418248855202008,0.9550747537435856,0.9724336713212848,0.9367695322167607,0.9538510615773264,0.9549071344790429
deepSRAMP$_{single}$_random,AUPRC,0.8071539041189073,0.7362486774321688,0.7261645030136954,0.7781838690794503,0.7894176795050124,0.683275983117199,0.6100437218219215,0.7534074360444056
deepSRAMP$_{single}$_random,AUROC,0.9672057430509302,0.9542897982791386,0.9411379442129582,0.9555599860810352,0.9701540372024885,0.9367842580066662,0.9505819393882647,0.9541886278055361
