deepSRAMP[full],Precision,Recall,F1,Specificity,Accuracy,MCC,AUPRC,AUROC
genomeonly,0.26152872809073013,0.9425724178701124,0.40945026322064676,0.7372173303982389,0.7556709089391284,0.41544683258032084,0.5091158025171066,0.9090669315166219
seqonly,0.3534852745301169,0.8068575289249219,0.49159998970902263,0.8542959108798612,0.8500330123170093,0.46826471614934845,0.5150524738832958,0.91149224413459
full,0.37094190342302286,0.9581960983025082,0.5348354859998115,0.8395620705756788,0.8502227382768329,0.5403879730952841,0.6787495173034486,0.9573125290031999
