,Precision,Recall,F1,Specificity,Accuracy,MCC,AUPRC,AUROC,method,dataset
0,0.5735591506572295,0.9086904285142171,0.7032388036572137,0.9050914205344585,0.905534727703236,0.6748186629226693,0.823551021523807,0.9698166857894734,deepSRAMP,A549
1,0.5497976765435322,0.9142609073149555,0.6866644929898924,0.8899840510366827,0.8930945295769948,0.6564640854406336,0.7843183122028425,0.9629118818911241,deepSRAMP,CD8T
2,0.5581725648005681,0.8753867095656478,0.6816834903273988,0.8816448606032423,0.880731874638937,0.6361672772706216,0.7781312318838243,0.9531552248701403,deepSRAMP,HeLa
3,0.6581841030474396,0.8170826833073322,0.7290760396728728,0.9398795380449798,0.9246406272687673,0.6913091768009957,0.8483615875777599,0.9716670163739742,deepSRAMP,HEK293 Abcam
4,0.6559094719195306,0.9173505275498242,0.7649071358748778,0.9348257521632135,0.9327413829266588,0.7408560473408011,0.8670385263919823,0.980306397967249,deepSRAMP,HEK293 SYSY
5,0.5869376411325343,0.7971219627270583,0.6760704281712685,0.9187119710125111,0.9033230824351357,0.6308361750403882,0.7844565248396023,0.956642533166447,deepSRAMP,MOLM13
6,0.5066250974279034,0.8669969512195121,0.6395389697097477,0.916544242287264,0.9120873470227281,0.6211938490857153,0.7459763657615404,0.9671377805281154,deepSRAMP,YTHDF
7,0.5461703650680029,0.9167000400480577,0.6845095693779905,0.893406562613837,0.8962660701556009,0.6572840518250672,0.8092420204876896,0.9670678819122416,deepSRAMP_Single,A549
8,0.28134151443313343,0.8079695634761714,0.41735622672734796,0.7111833440748732,0.7230648214154027,0.3565907553527086,0.4084719296581075,0.8365639911166862,DP-oh,A549
9,0.2859454136184581,0.8139767721265518,0.42321707444039564,0.7155546837784067,0.7276369804085445,0.364457084433714,0.41624701264726516,0.839663560629524,DP-enac,A549
10,0.28026545581557805,0.8033640368442131,0.41555751204101715,0.7112954297082972,0.7225977729161034,0.3536563455524103,0.4069898622694965,0.8355000837780633,DP-emb,A549
11,0.28759134345137716,0.8195835002002403,0.425777592843025,0.7158909406786785,0.7286202404070696,0.36845159393052146,0.4211381561552012,0.8431479784315729,DeepPromise,A549
12,0.5258893530826687,0.901671369654873,0.6643211258595875,0.880971299621778,0.8836151926808983,0.6316630954947955,0.7629714251765893,0.9573027302558681,deepSRAMP_Single,CD8T
13,0.28646628013426917,0.8150640329932711,0.42393451876940447,0.7027301910180211,0.717077904075409,0.3593298533678097,0.4233362243772191,0.8373703805989265,DP-oh,CD8T
14,0.2877765573513259,0.7961797265031474,0.4227511093182735,0.7114706162794393,0.7222899916828389,0.35447481260448666,0.4110198943379586,0.8305660051520787,DP-enac,CD8T
15,0.2851063829787234,0.8144128500108531,0.42235605335734794,0.7009821059657375,0.7154699196007762,0.35736239161770383,0.4205420597165723,0.8369907704958841,DP-emb,CD8T
16,0.29020119797266164,0.8202734968526156,0.4287253956548868,0.7062263611225884,0.7207929026892154,0.3658911975067267,0.43060377879688605,0.8413182304653505,DeepPromise,CD8T
17,0.55,0.8303427793589903,0.661703071840639,0.8847534479501228,0.8768620553501562,0.6089124623196966,0.7196104293901757,0.9409000264516908,deepSRAMP_Single,HeLa
18,0.31329288472145617,0.6677391411953966,0.4264854077338023,0.751716103029158,0.739536594996231,0.3196173434087945,0.3868542505599156,0.789229073682162,DP-oh,HeLa
19,0.3116498592870544,0.6577775027843089,0.4229223853284004,0.7535424145097298,0.7396532538856384,0.31427059153075304,0.38266197745669434,0.7852621363812418,DP-enac,HeLa
20,0.3103703282325502,0.6751639648558346,0.4252533125487139,0.7455129416210089,0.7353099536953946,0.31876577980060794,0.3866656501207194,0.7883228119367023,DP-emb,HeLa
21,0.3142582000700362,0.6663160499938127,0.4270870513583185,0.7533534857358776,0.7407301051724757,0.3202426668975248,0.388349472927648,0.7898622311425469,DeepPromise,HeLa
22,0.6307692307692307,0.8651817116060961,0.7296094908551657,0.9314720812182741,0.9235713287690374,0.6979988161133931,0.8009725101689322,0.9709328750126456,deepSRAMP_Single,HEK293 Abcam
23,0.2496291587200678,0.690504103165299,0.366692607003891,0.7191465736040609,0.7157328489590611,0.2823441617754176,0.3050067281935074,0.7813008385974256,DP-oh,HEK293 Abcam
24,0.252007814195789,0.6805392731535757,0.3678124504989704,0.7266814720812182,0.7211820595221462,0.2824170335058402,0.3073450289020901,0.7808070742408102,DP-enac,HEK293 Abcam
25,0.25344714379514116,0.6787807737397421,0.3690836653386454,0.7294574873096447,0.7234176330864888,0.28374277912115314,0.30019550460188543,0.7809992473934932,DP-emb,HEK293 Abcam
26,0.2508620689655172,0.6822977725674091,0.3668452568547116,0.7243020304568528,0.7192957943272321,0.28146068843870253,0.31262030912567235,0.7846587198213533,DeepPromise,HEK293 Abcam
27,0.6366536689117335,0.7004680187207488,0.6670380687093779,0.9434233040790417,0.913302064697065,0.6182618580485216,0.754265555398586,0.9542033163359984,deepSRAMP_Single,HEK293 SYSY
28,0.23079291762894535,0.5846333853354134,0.3309416050336682,0.7242369045647734,0.7069290653256612,0.21931015045499472,0.272439055422013,0.7214078006736763,DP-oh,HEK293 SYSY
29,0.23206943809958885,0.594383775351014,0.3338079071295587,0.7216426560688856,0.7058652869783859,0.22372627666492187,0.27932433483194663,0.7222174538579489,DP-enac,HEK293 SYSY
30,0.22941805407056667,0.5858034321372855,0.32971133794314567,0.7215322625158691,0.7047048015086311,0.217751643592329,0.2744735677952068,0.7172735104469586,DP-emb,HEK293 SYSY
