deepSRAMP[mature],Precision,Recall,F1,Specificity,Accuracy,MCC,AUPRC,AUROC
genomeonly,0.2273072829557549,0.9707792207792207,0.3683626955771837,0.6716145112157297,0.6986902862899841,0.3784857913625325,0.5004976074188414,0.8994508178387792
seqonly,0.20931475029036004,0.8358998144712431,0.33479472413152517,0.6857841779747069,0.6993703299471077,0.3115491168046956,0.33890881644840093,0.8392496519516142
full,0.3392556132425325,0.9334879406307978,0.49765095692596806,0.8190805870949875,0.829434976072538,0.4992801174470928,0.6241923930308919,0.9429696795009135
